Dialogue_Act,Utterance
FEEDBACK_POSITIVE,ja den dreißigsten November ja
CONFIRM,gut dann nehmen wir den Montag
INIT,<ähm> wie sieht es aus mit der Hotelunterkunft
NOT_CLASSIFIABLE,haben Sie sich
FEEDBACK_POSITIVE,ja den dreißigsten November ja
CONFIRM,gut dann nehmen wir den Montag
INIT,<ähm> wie sieht es aus mit der Hotelunterkunft
NOT_CLASSIFIABLE,haben Sie sich
INFORM,ja ich habe mich da ein bißchen informiert
CONFIRM,gut dann nehmen wir den Montag
INIT,<ähm> wie sieht es aus mit der Hotelunterkunft
NOT_CLASSIFIABLE,haben Sie sich
INFORM,ja ich habe mich da ein bißchen informiert
INFORM,und zwar <ähm> habe ich da jetzt Angaben über drei Hotels
INIT,<ähm> wie sieht es aus mit der Hotelunterkunft
NOT_CLASSIFIABLE,haben Sie sich
INFORM,ja ich habe mich da ein bißchen informiert
INFORM,und zwar <ähm> habe ich da jetzt Angaben über drei Hotels
SUGGEST,das Hotel Mercure
NOT_CLASSIFIABLE,haben Sie sich
INFORM,ja ich habe mich da ein bißchen informiert
INFORM,und zwar <ähm> habe ich da jetzt Angaben über drei Hotels
SUGGEST,das Hotel Mercure
SUGGEST,das Hotel s n Savoy
INFORM,ja ich habe mich da ein bißchen informiert
INFORM,und zwar <ähm> habe ich da jetzt Angaben über drei Hotels
SUGGEST,das Hotel Mercure
SUGGEST,das Hotel s n Savoy
SUGGEST,und Intercity-Hotel
INFORM,und zwar <ähm> habe ich da jetzt Angaben über drei Hotels
SUGGEST,das Hotel Mercure
SUGGEST,das Hotel s n Savoy
SUGGEST,und Intercity-Hotel
INFORM,liegen alle zentral
SUGGEST,das Hotel Mercure
SUGGEST,das Hotel s n Savoy
SUGGEST,und Intercity-Hotel
INFORM,liegen alle zentral
INFORM,<äh> zwei haben sogar Sauna
SUGGEST,das Hotel s n Savoy
SUGGEST,und Intercity-Hotel
INFORM,liegen alle zentral
INFORM,<äh> zwei haben sogar Sauna
INFORM,<ähm> zwei haben ein Restaurant integriert
SUGGEST,und Intercity-Hotel
INFORM,liegen alle zentral
INFORM,<äh> zwei haben sogar Sauna
INFORM,<ähm> zwei haben ein Restaurant integriert
INFORM,zwei haben Konferenzraum
INFORM,liegen alle zentral
INFORM,<äh> zwei haben sogar Sauna
INFORM,<ähm> zwei haben ein Restaurant integriert
INFORM,zwei haben Konferenzraum
INFORM,<ähm> die Preise ja die unterscheiden sich nicht so besonders
INFORM,<äh> zwei haben sogar Sauna
INFORM,<ähm> zwei haben ein Restaurant integriert
INFORM,zwei haben Konferenzraum
INFORM,<ähm> die Preise ja die unterscheiden sich nicht so besonders
BACKCHANNEL,mhm
INFORM,<ähm> zwei haben ein Restaurant integriert
INFORM,zwei haben Konferenzraum
INFORM,<ähm> die Preise ja die unterscheiden sich nicht so besonders
BACKCHANNEL,mhm
BACKCHANNEL,ja
INFORM,zwei haben Konferenzraum
INFORM,<ähm> die Preise ja die unterscheiden sich nicht so besonders
BACKCHANNEL,mhm
BACKCHANNEL,ja
INFORM,also ich finde es schon interess also ganz gut wenn ein Restaurant dabei ist
INFORM,<ähm> die Preise ja die unterscheiden sich nicht so besonders
BACKCHANNEL,mhm
BACKCHANNEL,ja
INFORM,also ich finde es schon interess also ganz gut wenn ein Restaurant dabei ist
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
BACKCHANNEL,ja
INFORM,also ich finde es schon interess also ganz gut wenn ein Restaurant dabei ist
FEEDBACK_POSITIVE,ja
SUGGEST,sollen wir vielleicht das mit der Sauna nehmen
BACKCHANNEL,ja
INFORM,also ich finde es schon interess also ganz gut wenn ein Restaurant dabei ist
FEEDBACK_POSITIVE,ja
SUGGEST,sollen wir vielleicht das mit der Sauna nehmen
GIVE_REASON,dann könnten wir abends noch in die Sauna gehen
INFORM,also ich finde es schon interess also ganz gut wenn ein Restaurant dabei ist
FEEDBACK_POSITIVE,ja
SUGGEST,sollen wir vielleicht das mit der Sauna nehmen
GIVE_REASON,dann könnten wir abends noch in die Sauna gehen
COMMIT,"gut dann werde ich mich um Ubernachtungen im Hotel Savoy kümmern"""
FEEDBACK_POSITIVE,ja
SUGGEST,sollen wir vielleicht das mit der Sauna nehmen
GIVE_REASON,dann könnten wir abends noch in die Sauna gehen
COMMIT,"gut dann werde ich mich um Ubernachtungen im Hotel Savoy kümmern"""
BACKCHANNEL,ja
SUGGEST,sollen wir vielleicht das mit der Sauna nehmen
GIVE_REASON,dann könnten wir abends noch in die Sauna gehen
COMMIT,"gut dann werde ich mich um Ubernachtungen im Hotel Savoy kümmern"""
BACKCHANNEL,ja
ACCEPT,ja können wir gern machen
GIVE_REASON,dann könnten wir abends noch in die Sauna gehen
COMMIT,"gut dann werde ich mich um Ubernachtungen im Hotel Savoy kümmern"""
BACKCHANNEL,ja
ACCEPT,ja können wir gern machen
FEEDBACK_POSITIVE,ja ja gute Idee
COMMIT,"gut dann werde ich mich um Ubernachtungen im Hotel Savoy kümmern"""
BACKCHANNEL,ja
ACCEPT,ja können wir gern machen
FEEDBACK_POSITIVE,ja ja gute Idee
ACCEPT,ja
BACKCHANNEL,ja
ACCEPT,ja können wir gern machen
FEEDBACK_POSITIVE,ja ja gute Idee
ACCEPT,ja
REQUEST_CLARIFY,das wäre dann also vom dreißigsten bis zum zweiten oder dritten
ACCEPT,ja können wir gern machen
FEEDBACK_POSITIVE,ja ja gute Idee
ACCEPT,ja
REQUEST_CLARIFY,das wäre dann also vom dreißigsten bis zum zweiten oder dritten
CLARIFY,dri dritten Dezember würde ich sagen ja
FEEDBACK_POSITIVE,ja ja gute Idee
ACCEPT,ja
REQUEST_CLARIFY,das wäre dann also vom dreißigsten bis zum zweiten oder dritten
CLARIFY,dri dritten Dezember würde ich sagen ja
FEEDBACK_POSITIVE,dritter Dezember gut
ACCEPT,ja
REQUEST_CLARIFY,das wäre dann also vom dreißigsten bis zum zweiten oder dritten
CLARIFY,dri dritten Dezember würde ich sagen ja
FEEDBACK_POSITIVE,dritter Dezember gut
FEEDBACK_POSITIVE,ja <ähm>
REQUEST_CLARIFY,das wäre dann also vom dreißigsten bis zum zweiten oder dritten
CLARIFY,dri dritten Dezember würde ich sagen ja
FEEDBACK_POSITIVE,dritter Dezember gut
FEEDBACK_POSITIVE,ja <ähm>
INIT,wie sieht es aus mit der Verkehrsverbindung sollen
CLARIFY,dri dritten Dezember würde ich sagen ja
FEEDBACK_POSITIVE,dritter Dezember gut
FEEDBACK_POSITIVE,ja <ähm>
INIT,wie sieht es aus mit der Verkehrsverbindung sollen
SUGGEST,wir fliegen oder sollen wir eher mit dem Zug fahren ich
FEEDBACK_POSITIVE,dritter Dezember gut
FEEDBACK_POSITIVE,ja <ähm>
INIT,wie sieht es aus mit der Verkehrsverbindung sollen
SUGGEST,wir fliegen oder sollen wir eher mit dem Zug fahren ich
GIVE_REASON,meine bei einem zentral liegenden Hotel würde es sich anbieten mit dem Zug zu fahren der
FEEDBACK_POSITIVE,ja <ähm>
INIT,wie sieht es aus mit der Verkehrsverbindung sollen
SUGGEST,wir fliegen oder sollen wir eher mit dem Zug fahren ich
GIVE_REASON,meine bei einem zentral liegenden Hotel würde es sich anbieten mit dem Zug zu fahren der
INFORM,fährt dreieinhalb Stunden etwa und
INIT,wie sieht es aus mit der Verkehrsverbindung sollen
SUGGEST,wir fliegen oder sollen wir eher mit dem Zug fahren ich
GIVE_REASON,meine bei einem zentral liegenden Hotel würde es sich anbieten mit dem Zug zu fahren der
INFORM,fährt dreieinhalb Stunden etwa und
INFORM,stündlich ab Bonn Hauptbahnhof ab
SUGGEST,wir fliegen oder sollen wir eher mit dem Zug fahren ich
GIVE_REASON,meine bei einem zentral liegenden Hotel würde es sich anbieten mit dem Zug zu fahren der
INFORM,fährt dreieinhalb Stunden etwa und
INFORM,stündlich ab Bonn Hauptbahnhof ab
INFORM,sechs Uhr fünfundvierzig stündlich bis abends durch
GIVE_REASON,meine bei einem zentral liegenden Hotel würde es sich anbieten mit dem Zug zu fahren der
INFORM,fährt dreieinhalb Stunden etwa und
INFORM,stündlich ab Bonn Hauptbahnhof ab
INFORM,sechs Uhr fünfundvierzig stündlich bis abends durch
ACCEPT,ja
INFORM,fährt dreieinhalb Stunden etwa und
INFORM,stündlich ab Bonn Hauptbahnhof ab
INFORM,sechs Uhr fünfundvierzig stündlich bis abends durch
ACCEPT,ja
INFORM,ich denke dann fahren wir mit dem Zug und
INFORM,stündlich ab Bonn Hauptbahnhof ab
INFORM,sechs Uhr fünfundvierzig stündlich bis abends durch
ACCEPT,ja
INFORM,ich denke dann fahren wir mit dem Zug und
BACKCHANNEL,<hm>
INFORM,sechs Uhr fünfundvierzig stündlich bis abends durch
ACCEPT,ja
INFORM,ich denke dann fahren wir mit dem Zug und
BACKCHANNEL,<hm>
SUGGEST,ja sollen wir sagen um acht Uhr fünfundvierzig
ACCEPT,ja
INFORM,ich denke dann fahren wir mit dem Zug und
BACKCHANNEL,<hm>
SUGGEST,ja sollen wir sagen um acht Uhr fünfundvierzig
ACCEPT,ja
INFORM,ich denke dann fahren wir mit dem Zug und
BACKCHANNEL,<hm>
SUGGEST,ja sollen wir sagen um acht Uhr fünfundvierzig
ACCEPT,ja
FEEDBACK_POSITIVE,ja gut
BACKCHANNEL,<hm>
SUGGEST,ja sollen wir sagen um acht Uhr fünfundvierzig
ACCEPT,ja
FEEDBACK_POSITIVE,ja gut
COMMIT,dann würde ich die Karten reservieren lassen
SUGGEST,ja sollen wir sagen um acht Uhr fünfundvierzig
ACCEPT,ja
FEEDBACK_POSITIVE,ja gut
COMMIT,dann würde ich die Karten reservieren lassen
FEEDBACK_POSITIVE,das wäre gut
ACCEPT,ja
FEEDBACK_POSITIVE,ja gut
COMMIT,dann würde ich die Karten reservieren lassen
FEEDBACK_POSITIVE,das wäre gut
SUGGEST,und die Rückfahrt dann abends irgend
FEEDBACK_POSITIVE,ja gut
COMMIT,dann würde ich die Karten reservieren lassen
FEEDBACK_POSITIVE,das wäre gut
SUGGEST,und die Rückfahrt dann abends irgend
ACCEPT,ja
COMMIT,dann würde ich die Karten reservieren lassen
FEEDBACK_POSITIVE,das wäre gut
SUGGEST,und die Rückfahrt dann abends irgend
ACCEPT,ja
ACCEPT,würde ich sagen
FEEDBACK_POSITIVE,das wäre gut
SUGGEST,und die Rückfahrt dann abends irgend
ACCEPT,ja
ACCEPT,würde ich sagen
INFORM,und zwar ab Hannover geht der Zug stündlich ab sechs Uhr achtundfünfzig
SUGGEST,und die Rückfahrt dann abends irgend
ACCEPT,ja
ACCEPT,würde ich sagen
INFORM,und zwar ab Hannover geht der Zug stündlich ab sechs Uhr achtundfünfzig
SUGGEST,würde ich sagen vielleicht siebzehn Uhr achtundfünfzig
ACCEPT,ja
ACCEPT,würde ich sagen
INFORM,und zwar ab Hannover geht der Zug stündlich ab sechs Uhr achtundfünfzig
SUGGEST,würde ich sagen vielleicht siebzehn Uhr achtundfünfzig
ACCEPT,ja
ACCEPT,würde ich sagen
INFORM,und zwar ab Hannover geht der Zug stündlich ab sechs Uhr achtundfünfzig
SUGGEST,würde ich sagen vielleicht siebzehn Uhr achtundfünfzig
ACCEPT,ja
ACCEPT,das paßt gut
INFORM,und zwar ab Hannover geht der Zug stündlich ab sechs Uhr achtundfünfzig
SUGGEST,würde ich sagen vielleicht siebzehn Uhr achtundfünfzig
ACCEPT,ja
ACCEPT,das paßt gut
FEEDBACK_POSITIVE,okay
SUGGEST,würde ich sagen vielleicht siebzehn Uhr achtundfünfzig
ACCEPT,ja
ACCEPT,das paßt gut
FEEDBACK_POSITIVE,okay
FEEDBACK_POSITIVE,ja
ACCEPT,ja
ACCEPT,das paßt gut
FEEDBACK_POSITIVE,okay
FEEDBACK_POSITIVE,ja
CLOSE,das habe ich mir notiert
ACCEPT,das paßt gut
FEEDBACK_POSITIVE,okay
FEEDBACK_POSITIVE,ja
CLOSE,das habe ich mir notiert
REQUEST,<ähm> wie sieht es aus
FEEDBACK_POSITIVE,okay
FEEDBACK_POSITIVE,ja
CLOSE,das habe ich mir notiert
REQUEST,<ähm> wie sieht es aus
INIT,sollen wir abends noch etwas unternehmen
FEEDBACK_POSITIVE,ja
CLOSE,das habe ich mir notiert
REQUEST,<ähm> wie sieht es aus
INIT,sollen wir abends noch etwas unternehmen
INFORM,vielleicht das kulturelle Programm in Hannover in Anspruch nehmen
CLOSE,das habe ich mir notiert
REQUEST,<ähm> wie sieht es aus
INIT,sollen wir abends noch etwas unternehmen
INFORM,vielleicht das kulturelle Programm in Hannover in Anspruch nehmen
NOT_CLASSIFIABLE,ja also
REQUEST,<ähm> wie sieht es aus
INIT,sollen wir abends noch etwas unternehmen
INFORM,vielleicht das kulturelle Programm in Hannover in Anspruch nehmen
NOT_CLASSIFIABLE,ja also
SUGGEST,<%> Konzert gehen oder ins Kino
INIT,sollen wir abends noch etwas unternehmen
INFORM,vielleicht das kulturelle Programm in Hannover in Anspruch nehmen
NOT_CLASSIFIABLE,ja also
SUGGEST,<%> Konzert gehen oder ins Kino
ACCEPT,würde ich gerne
INFORM,vielleicht das kulturelle Programm in Hannover in Anspruch nehmen
NOT_CLASSIFIABLE,ja also
SUGGEST,<%> Konzert gehen oder ins Kino
ACCEPT,würde ich gerne
INFORM,Restaurant und Sauna wie gesagt haben wir schon im Hotel
NOT_CLASSIFIABLE,ja also
SUGGEST,<%> Konzert gehen oder ins Kino
ACCEPT,würde ich gerne
INFORM,Restaurant und Sauna wie gesagt haben wir schon im Hotel
NOT_CLASSIFIABLE,ja das <häs>
SUGGEST,<%> Konzert gehen oder ins Kino
ACCEPT,würde ich gerne
INFORM,Restaurant und Sauna wie gesagt haben wir schon im Hotel
NOT_CLASSIFIABLE,ja das <häs>
INFORM,und dann bleiben ja immer noch zwei Abende
ACCEPT,würde ich gerne
INFORM,Restaurant und Sauna wie gesagt haben wir schon im Hotel
NOT_CLASSIFIABLE,ja das <häs>
INFORM,und dann bleiben ja immer noch zwei Abende
INFORM,ja ich meine Kino kann man sich ja kurzfristig entscheiden
INFORM,Restaurant und Sauna wie gesagt haben wir schon im Hotel
NOT_CLASSIFIABLE,ja das <häs>
INFORM,und dann bleiben ja immer noch zwei Abende
INFORM,ja ich meine Kino kann man sich ja kurzfristig entscheiden
BACKCHANNEL,<hm>
NOT_CLASSIFIABLE,ja das <häs>
INFORM,und dann bleiben ja immer noch zwei Abende
INFORM,ja ich meine Kino kann man sich ja kurzfristig entscheiden
BACKCHANNEL,<hm>
FEEDBACK_POSITIVE,ja ich würde sagen
INFORM,und dann bleiben ja immer noch zwei Abende
INFORM,ja ich meine Kino kann man sich ja kurzfristig entscheiden
BACKCHANNEL,<hm>
FEEDBACK_POSITIVE,ja ich würde sagen
OFFER,also ich würde gern noch Theaterkarten besorgen
INFORM,ja ich meine Kino kann man sich ja kurzfristig entscheiden
BACKCHANNEL,<hm>
FEEDBACK_POSITIVE,ja ich würde sagen
OFFER,also ich würde gern noch Theaterkarten besorgen
GIVE_REASON,weil ich Bekannte habe die da dran kommen
BACKCHANNEL,<hm>
FEEDBACK_POSITIVE,ja ich würde sagen
OFFER,also ich würde gern noch Theaterkarten besorgen
GIVE_REASON,weil ich Bekannte habe die da dran kommen
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja ich würde sagen
OFFER,also ich würde gern noch Theaterkarten besorgen
GIVE_REASON,weil ich Bekannte habe die da dran kommen
BACKCHANNEL,mhm
ACCEPT,ja
OFFER,also ich würde gern noch Theaterkarten besorgen
GIVE_REASON,weil ich Bekannte habe die da dran kommen
BACKCHANNEL,mhm
ACCEPT,ja
ACCEPT,ja das ist auch eine gute Idee das können wir gerne machen
GIVE_REASON,weil ich Bekannte habe die da dran kommen
BACKCHANNEL,mhm
ACCEPT,ja
ACCEPT,ja das ist auch eine gute Idee das können wir gerne machen
NOT_CLASSIFIABLE,wenn wir <%>
BACKCHANNEL,mhm
ACCEPT,ja
ACCEPT,ja das ist auch eine gute Idee das können wir gerne machen
NOT_CLASSIFIABLE,wenn wir <%>
SUGGEST,an welchem Abend
ACCEPT,ja
ACCEPT,ja das ist auch eine gute Idee das können wir gerne machen
NOT_CLASSIFIABLE,wenn wir <%>
SUGGEST,an welchem Abend
EXCLUDE,ich würde sagen vielleicht nicht direkt den Montag
ACCEPT,ja das ist auch eine gute Idee das können wir gerne machen
NOT_CLASSIFIABLE,wenn wir <%>
SUGGEST,an welchem Abend
EXCLUDE,ich würde sagen vielleicht nicht direkt den Montag
SUGGEST,den Mittwoch den zweiten Dezember
NOT_CLASSIFIABLE,wenn wir <%>
SUGGEST,an welchem Abend
EXCLUDE,ich würde sagen vielleicht nicht direkt den Montag
SUGGEST,den Mittwoch den zweiten Dezember
REQUEST_COMMENT,ist das in Ordnung
SUGGEST,an welchem Abend
EXCLUDE,ich würde sagen vielleicht nicht direkt den Montag
SUGGEST,den Mittwoch den zweiten Dezember
REQUEST_COMMENT,ist das in Ordnung
ACCEPT,gut
EXCLUDE,ich würde sagen vielleicht nicht direkt den Montag
SUGGEST,den Mittwoch den zweiten Dezember
REQUEST_COMMENT,ist das in Ordnung
ACCEPT,gut
COMMIT,ja dann werde ich dafür Karten besorgen
SUGGEST,den Mittwoch den zweiten Dezember
REQUEST_COMMENT,ist das in Ordnung
ACCEPT,gut
COMMIT,ja dann werde ich dafür Karten besorgen
FEEDBACK_POSITIVE,ja prima
REQUEST_COMMENT,ist das in Ordnung
ACCEPT,gut
COMMIT,ja dann werde ich dafür Karten besorgen
FEEDBACK_POSITIVE,ja prima
ACCEPT,ja klasse
ACCEPT,gut
COMMIT,ja dann werde ich dafür Karten besorgen
FEEDBACK_POSITIVE,ja prima
ACCEPT,ja klasse
NOT_CLASSIFIABLE,ja de
COMMIT,ja dann werde ich dafür Karten besorgen
FEEDBACK_POSITIVE,ja prima
ACCEPT,ja klasse
NOT_CLASSIFIABLE,ja de
FEEDBACK_POSITIVE,fein
FEEDBACK_POSITIVE,ja prima
ACCEPT,ja klasse
NOT_CLASSIFIABLE,ja de
FEEDBACK_POSITIVE,fein
FEEDBACK_POSITIVE,sieht doch gut aus
ACCEPT,ja klasse
NOT_CLASSIFIABLE,ja de
FEEDBACK_POSITIVE,fein
FEEDBACK_POSITIVE,sieht doch gut aus
FEEDBACK_POSITIVE,ja
NOT_CLASSIFIABLE,ja de
FEEDBACK_POSITIVE,fein
FEEDBACK_POSITIVE,sieht doch gut aus
FEEDBACK_POSITIVE,ja
BYE,dann bis auf weiteres
FEEDBACK_POSITIVE,fein
FEEDBACK_POSITIVE,sieht doch gut aus
FEEDBACK_POSITIVE,ja
BYE,dann bis auf weiteres
BYE,ja bis auf weiteres
FEEDBACK_POSITIVE,sieht doch gut aus
FEEDBACK_POSITIVE,ja
BYE,dann bis auf weiteres
BYE,ja bis auf weiteres
BYE,Wiedersehen Frau Schwill
FEEDBACK_POSITIVE,ja
BYE,dann bis auf weiteres
BYE,ja bis auf weiteres
BYE,Wiedersehen Frau Schwill
BYE,Wiedersehen Frau Lotz
BACKCHANNEL,mhm
BACKCHANNEL,mhm
EXCLUDE,also der November ist ganz schlecht bei mir
ACCEPT,ja bei mir auch
DELIBERATE,das sehe ich jetzt schon grade
BACKCHANNEL,mhm
EXCLUDE,also der November ist ganz schlecht bei mir
ACCEPT,ja bei mir auch
DELIBERATE,das sehe ich jetzt schon grade
DELIBERATE,das sehen Sie auch schon ja
EXCLUDE,also der November ist ganz schlecht bei mir
ACCEPT,ja bei mir auch
DELIBERATE,das sehe ich jetzt schon grade
DELIBERATE,das sehen Sie auch schon ja
SUGGEST,also ich <häs> könnte im Oktober
ACCEPT,ja bei mir auch
DELIBERATE,das sehe ich jetzt schon grade
DELIBERATE,das sehen Sie auch schon ja
SUGGEST,also ich <häs> könnte im Oktober
ACCEPT,der Oktober wäre nicht schlecht
DELIBERATE,das sehe ich jetzt schon grade
DELIBERATE,das sehen Sie auch schon ja
SUGGEST,also ich <häs> könnte im Oktober
ACCEPT,der Oktober wäre nicht schlecht
EXCLUDE,weil Dezember man so viel zu tun mit Weihnachtseinkäufen et cetera
DELIBERATE,das sehen Sie auch schon ja
SUGGEST,also ich <häs> könnte im Oktober
ACCEPT,der Oktober wäre nicht schlecht
EXCLUDE,weil Dezember man so viel zu tun mit Weihnachtseinkäufen et cetera
ACCEPT,ja ja
SUGGEST,also ich <häs> könnte im Oktober
ACCEPT,der Oktober wäre nicht schlecht
EXCLUDE,weil Dezember man so viel zu tun mit Weihnachtseinkäufen et cetera
ACCEPT,ja ja
FEEDBACK_NEGATIVE,Dezember ist immer schlecht
ACCEPT,der Oktober wäre nicht schlecht
EXCLUDE,weil Dezember man so viel zu tun mit Weihnachtseinkäufen et cetera
ACCEPT,ja ja
FEEDBACK_NEGATIVE,Dezember ist immer schlecht
DELIBERATE,<ähm> also entweder tja das kommt jetzt drauf an
EXCLUDE,weil Dezember man so viel zu tun mit Weihnachtseinkäufen et cetera
ACCEPT,ja ja
FEEDBACK_NEGATIVE,Dezember ist immer schlecht
DELIBERATE,<ähm> also entweder tja das kommt jetzt drauf an
INFORM,ich weiß nicht ob drei t Arbeitstage möglicherweise aus ausreichen
ACCEPT,ja ja
FEEDBACK_NEGATIVE,Dezember ist immer schlecht
DELIBERATE,<ähm> also entweder tja das kommt jetzt drauf an
INFORM,ich weiß nicht ob drei t Arbeitstage möglicherweise aus ausreichen
SUGGEST,dann könnte ich schon könnten wir machen dann würde ich den siebten Oktober vorschlagen
FEEDBACK_NEGATIVE,Dezember ist immer schlecht
DELIBERATE,<ähm> also entweder tja das kommt jetzt drauf an
INFORM,ich weiß nicht ob drei t Arbeitstage möglicherweise aus ausreichen
SUGGEST,dann könnte ich schon könnten wir machen dann würde ich den siebten Oktober vorschlagen
INFORM,das ist ein Mittwoch bis freitags das sind drei Tage
DELIBERATE,<ähm> also entweder tja das kommt jetzt drauf an
INFORM,ich weiß nicht ob drei t Arbeitstage möglicherweise aus ausreichen
SUGGEST,dann könnte ich schon könnten wir machen dann würde ich den siebten Oktober vorschlagen
INFORM,das ist ein Mittwoch bis freitags das sind drei Tage
INFORM,das dürfte reichen
INFORM,ich weiß nicht ob drei t Arbeitstage möglicherweise aus ausreichen
SUGGEST,dann könnte ich schon könnten wir machen dann würde ich den siebten Oktober vorschlagen
INFORM,das ist ein Mittwoch bis freitags das sind drei Tage
INFORM,das dürfte reichen
FEEDBACK_POSITIVE,ja das könnte ja
SUGGEST,dann könnte ich schon könnten wir machen dann würde ich den siebten Oktober vorschlagen
INFORM,das ist ein Mittwoch bis freitags das sind drei Tage
INFORM,das dürfte reichen
FEEDBACK_POSITIVE,ja das könnte ja
ACCEPT,ja da könnte ich da hätte ich auch noch einen Termin frei
INFORM,das ist ein Mittwoch bis freitags das sind drei Tage
INFORM,das dürfte reichen
FEEDBACK_POSITIVE,ja das könnte ja
ACCEPT,ja da könnte ich da hätte ich auch noch einen Termin frei
ACCEPT,also das wäre nicht schlecht die drei Tage
INFORM,das dürfte reichen
FEEDBACK_POSITIVE,ja das könnte ja
ACCEPT,ja da könnte ich da hätte ich auch noch einen Termin frei
ACCEPT,also das wäre nicht schlecht die drei Tage
CLOSE,dann halten wir das fest
FEEDBACK_POSITIVE,ja das könnte ja
ACCEPT,ja da könnte ich da hätte ich auch noch einen Termin frei
ACCEPT,also das wäre nicht schlecht die drei Tage
CLOSE,dann halten wir das fest
